MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,CRS_DEP_TIME,DEP_DELAY_NEW
8,5,AA,LGA,1130,0.0
8,5,AA,LGA,930,0.0
8,5,AA,LGA,2030,39.0
8,5,AA,LGA,1830,10.0
8,5,AA,LGA,1030,0.0
8,5,AA,LGA,1430,23.0
8,5,AA,LGA,1930,0.0
8,5,AA,LGA,1530,38.0
8,5,AA,LGA,659,0.0
8,5,AA,LGA,830,0.0
8,5,AA,LGA,600,40.0
8,5,AA,LGA,1730,0.0
8,5,AA,LGA,1630,7.0
8,5,AA,LGA,1330,0.0
8,5,AA,LGA,1229,0.0
8,5,OO,HPN,1200,0.0
8,5,OO,HPN,1630,0.0
8,5,OO,HPN,705,58.0
8,5,B6,JFK,807,0.0
8,5,B6,JFK,1321,17.0
8,5,9E,JFK,1459,0.0
8,5,9E,JFK,1155,0.0
8,5,9E,JFK,900,0.0
8,5,DL,LGA,1630,9.0
8,5,DL,LGA,1830,0.0
8,5,DL,LGA,730,0.0
8,5,DL,LGA,2045,0.0
8,5,DL,LGA,600,0.0
8,5,DL,LGA,1359,0.0
8,5,DL,LGA,845,32.0
8,5,DL,LGA,1200,0.0
8,5,YX,JFK,1935,2.0
8,5,OO,LGA,1915,0.0
8,5,OO,LGA,1652,2.0
8,5,OO,LGA,1107,0.0
8,5,OO,HPN,1803,0.0
8,5,OO,HPN,620,0.0
8,5,UA,LGA,1815,4.0
8,5,UA,LGA,630,0.0
8,5,UA,LGA,900,0.0
8,5,UA,LGA,1005,0.0
8,5,UA,LGA,1300,0.0
8,5,UA,LGA,2100,76.0
8,5,UA,LGA,800,4.0
8,5,UA,LGA,1500,0.0
8,5,YX,LGA,700,0.0
8,6,AA,JFK,900,0.0
8,6,AA,JFK,1555,0.0
8,6,AA,LGA,729,0.0
8,6,AA,LGA,600,3.0
8,6,AA,LGA,2030,0.0
8,6,AA,LGA,1229,1.0
8,6,AA,LGA,1530,0.0
8,6,OO,HPN,1200,0.0
8,6,OO,HPN,705,0.0
8,6,OO,HPN,1630,0.0
8,6,B6,JFK,1321,0.0
8,6,B6,JFK,807,0.0
8,6,9E,JFK,1155,18.0
8,6,9E,JFK,1459,0.0
8,6,9E,JFK,900,0.0
8,6,DL,LGA,1415,0.0
8,6,DL,LGA,845,0.0
8,6,DL,LGA,1845,0.0
8,6,DL,LGA,1200,0.0
8,6,YX,JFK,1959,0.0
8,6,OO,LGA,1915,0.0
8,6,OO,LGA,1652,0.0
8,6,OO,HPN,1803,49.0
8,6,OO,HPN,620,0.0
8,6,UA,LGA,1005,0.0
8,6,UA,LGA,800,0.0
8,6,UA,LGA,1300,0.0
8,6,UA,LGA,900,4.0
8,6,UA,LGA,630,0.0
8,6,UA,LGA,1815,0.0
8,6,UA,LGA,1500,12.0
8,6,YX,LGA,700,0.0
8,7,AA,JFK,845,0.0
8,7,AA,JFK,1555,4.0
8,7,AA,LGA,930,0.0
8,7,AA,LGA,1530,0.0
8,7,AA,LGA,1130,0.0
8,7,AA,LGA,1830,0.0
8,7,AA,LGA,800,0.0
8,7,AA,LGA,1229,58.0
8,7,AA,LGA,1630,0.0
8,7,AA,LGA,2030,0.0
8,7,AA,LGA,600,11.0
8,7,AA,LGA,1430,0.0
8,7,AA,LGA,1730,10.0
8,7,AA,LGA,700,0.0
8,7,AA,LGA,1930,33.0
8,7,AA,LGA,1330,12.0
8,7,OO,HPN,1200,0.0
8,7,OO,HPN,1630,0.0
8,7,OO,HPN,705,0.0
8,7,B6,JFK,807,0.0
8,7,B6,JFK,1321,0.0
8,7,9E,JFK,900,0.0
8,7,9E,JFK,1155,19.0
8,7,9E,JFK,1459,0.0
8,7,DL,LGA,1200,0.0
8,7,DL,LGA,1630,0.0
8,7,DL,LGA,845,6.0
8,7,DL,LGA,1845,0.0
8,7,DL,LGA,2045,0.0
8,7,DL,LGA,1359,0.0
8,7,YX,JFK,1935,18.0
8,7,OO,LGA,1652,0.0
8,7,OO,LGA,1915,81.0
8,7,OO,LGA,1107,0.0
8,7,OO,HPN,1803,0.0
8,7,OO,HPN,620,0.0
8,7,OO,HPN,1200,0.0
8,7,UA,LGA,2100,13.0
8,7,UA,LGA,900,0.0
8,7,UA,LGA,1005,0.0
8,7,UA,LGA,1300,11.0
8,7,UA,LGA,630,34.0
8,7,UA,LGA,1815,3.0
8,7,UA,LGA,1500,62.0
8,7,UA,LGA,800,0.0
8,7,YX,LGA,700,0.0
8,1,AA,JFK,845,0.0
8,1,AA,JFK,1555,0.0
8,1,AA,LGA,1730,0.0
