"MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","ORIGIN","DEST","CRS_DEP_TIME","DEP_DELAY_NEW"
"2","7","WN","LGA","ATL","740","9.0"
"3","3","AA","LGA","ORD","1230","72.0"
"7","4","B6","JFK","LAX","529","0.0"
"8","5","AA","JFK","LAX","1534","17.0"
"9","1","AA","JFK","LAX","1030","0.0"
"5","6","UA","LGA","ORD","1000","0.0"
"12","4","DL","LGA","ORD","730","0.0"
"6","5","B6","JFK","ATL","1500","22.0"
"8","2","AA","JFK","ORD","1555","20.0"
"4","1","DL","JFK","PHX","1950","41.0"
"3","2","UA","LGA","ORD","1800","115.0"
"10","7","WN","LGA","ATL","745","0.0"
"11","3","AA","LGA","ORD","830","0.0"
"9","1","AA","LGA","DFW","1455","1.0"
"10","6","AA","JFK","LAX","1800","0.0"
"5","2","DL","LGA","ATL","2030","48.0"
"8","1","DL","LGA","ORD","610","0.0"
"7","7","UA","LGA","ORD","1820","27.0"
"9","4","AA","JFK","ORD","1607","12.0"
"8","6","AA","LGA","DFW","545","0.0"
"7","6","DL","JFK","PHX","700","0.0"
"2","4","B6","JFK","PHX","1729","0.0"
"4","7","DL","LGA","ORD","1625","7.0"
"3","7","DL","JFK","LAX","1555","0.0"
"8","7","DL","LGA","DFW","800","0.0"
"5","3","YX","LGA","ATL","2059","0.0"
"11","6","DL","LGA","ATL","820","0.0"
"10","7","WN","LGA","ATL","1535","10.0"
"9","2","DL","JFK","LAX","1355","1.0"
"11","4","DL","LGA","ORD","850","0.0"
"7","4","B6","JFK","ATL","1530","0.0"
"8","7","DL","JFK","PHX","705","0.0"
"5","1","DL","LGA","ATL","1429","0.0"
"11","5","DL","JFK","LAX","1405","0.0"
"10","5","B6","JFK","LAX","1300","0.0"
"5","4","AA","JFK","LAX","1655","0.0"
"6","4","B6","JFK","LAX","2130","12.0"
"11","4","DL","LGA","DFW","845","0.0"
"2","3","AA","JFK","PHX","1305","0.0"
"10","3","B6","JFK","LAX","630","0.0"
"11","4","B6","JFK","LAX","700","0.0"
"3","7","AA","JFK","PHX","630","0.0"
"3","5","YX","LGA","ATL","2020","3.0"
"3","1","OO","JFK","ORD","1230","62.0"
"12","1","DL","LGA","ORD","1200","8.0"
"5","6","B6","LGA","ATL","1700","125.0"
"9","5","B6","JFK","ORD","800","0.0"
"11","2","DL","LGA","ATL","1300","4.0"
"3","6","AA","JFK","PHX","630","0.0"
"2","5","AA","JFK","LAX","1030","0.0"
"3","1","AA","LGA","DFW","1855","0.0"
"6","5","AA","JFK","LAX","2100","0.0"
"12","1","YX","LGA","ATL","2030","0.0"
"5","5","DL","LGA","ATL","700","0.0"
"10","3","DL","LGA","DFW","1512","2.0"
"4","2","DL","JFK","LAX","1200","5.0"
